trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.8111999999999946}",20,3,-26.432231948079814,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.8095999999999945}",35,0,-162.39395376926345,"{0: 25, 1: 4, 2: 1, 3: 2, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.8079999999999945}",25,0,-68.04509643941986,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8063999999999945}",30,0,-153.92253820200722,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.8047999999999944}",30,8,-72.94046852706717,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.8031999999999944}",35,2,-146.67361895175952,"{0: 23, 1: 5, 2: 0, 3: 2, 4: 3}",1
124,False,"{'a': 0.5, 'e': 0.8015999999999943}",20,0,-106.18275049093515,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.7999999999999943}",25,0,-53.972066006590694,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.7983999999999942}",30,0,-155.46305124740243,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.7967999999999942}",20,9,-6.56885468120757,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.7951999999999941}",30,0,-73.58700616951339,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.7935999999999941}",35,0,-157.17481476908512,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.791999999999994}",35,0,-39.473199528949465,"{0: 26, 1: 6, 2: 2, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.790399999999994}",20,0,-149.89361237604106,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.788799999999994}",40,0,-225.43030693688132,"{0: 22, 1: 8, 2: 6, 3: 0, 4: 4}",0
133,False,"{'a': 0.5, 'e': 0.7871999999999939}",20,0,-48.978856118417994,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.7855999999999939}",20,0,-5.028954842723682,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.7839999999999938}",20,0,-39.96094269903939,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.7823999999999938}",20,0,-122.91876958457294,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.7807999999999937}",30,18,-5.820026084090865,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.7791999999999937}",30,0,-55.74169165160705,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.7775999999999936}",20,0,-98.37242317238356,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.7759999999999936}",30,3,-58.2948230846424,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.7743999999999935}",35,0,-198.3757886724382,"{0: 23, 1: 5, 2: 2, 3: 1, 4: 4}",0
142,False,"{'a': 0.5, 'e': 0.7727999999999935}",35,0,-116.89380557867364,"{0: 25, 1: 3, 2: 3, 3: 3, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.7711999999999934}",35,0,-183.26070772770396,"{0: 23, 1: 3, 2: 3, 3: 4, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.7695999999999934}",35,0,-15.68570909232674,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7679999999999934}",20,15,7.77545975148697,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.7663999999999933}",35,0,-176.65652558937455,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.7647999999999933}",35,0,-76.93325354138221,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.7631999999999932}",25,0,-63.89990303982735,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.7615999999999932}",30,0,-139.9431548339405,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.7599999999999931}",25,0,-74.77854447564594,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.7583999999999931}",35,0,-35.15077474484151,"{0: 27, 1: 5, 2: 2, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.756799999999993}",40,0,-186.5925576394101,"{0: 24, 1: 6, 2: 7, 3: 0, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.755199999999993}",25,0,-117.71492570387858,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.7535999999999929}",30,0,-70.74025856077996,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.7519999999999929}",30,0,-93.53435254395188,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.7503999999999929}",35,0,-119.74119351944063,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.7487999999999928}",20,13,0.5984378825468584,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.7471999999999928}",40,0,-90.38976635986833,"{0: 30, 1: 5, 2: 2, 3: 2, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.7455999999999927}",25,0,-133.74105333802422,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
160,False,"{'a': 0.5, 'e': 0.7439999999999927}",20,7,-26.370652802554797,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.7423999999999926}",25,16,16.01139217368878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.7407999999999926}",25,0,-84.29955461646871,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.7391999999999925}",25,0,-207.93233637437874,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.7375999999999925}",25,0,-159.75341550772725,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.7359999999999924}",20,0,0.18297490262467708,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.7343999999999924}",50,0,-128.31130707154026,"{0: 36, 1: 6, 2: 3, 3: 4, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.7327999999999923}",20,0,-80.59022790727728,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.7311999999999923}",25,5,-36.89068919044038,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.7295999999999923}",35,13,-61.23148234271609,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.7279999999999922}",35,0,-7.9441029931044325,"{0: 28, 1: 5, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.7263999999999922}",25,0,-98.8161244164665,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.7247999999999921}",40,0,-101.90285732169637,"{0: 28, 1: 5, 2: 5, 3: 1, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.7231999999999921}",20,0,-104.90506791956577,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.721599999999992}",25,0,-155.78191462893957,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.719999999999992}",40,10,-137.04697329457693,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",1
176,False,"{'a': 0.5, 'e': 0.7183999999999919}",25,0,-103.10366909441,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.7167999999999919}",30,0,-116.67049117162026,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.7151999999999918}",20,0,-162.78910875995135,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.7135999999999918}",30,10,-70.66751385687013,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.7119999999999918}",20,0,-32.02065553986421,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.7103999999999917}",20,0,-33.18325229322993,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
